的		22510
是		18809
我		17322
你		14987
不		12131
么		10681
吗		10152
了		9014
好		8806
有		7658
一		6402
看		6387
喜		6033
欢		5975
什		5510
个		5116
啊		4961
道		4551
吃		4310
人		4234
他		4234
天		4196
知		4192
过		3938
怎		3787
说		3747
很		3547
这		3349
没		3314
在		3309
谁		3082
小		2982
那		2908
去		2907
呢		2893
就		2851
还		2749
多		2611
玩		2592
哪		2555
都		2499
得		2479
大		2468
可		2463
会		2454
里		2390
想		2368
要		2351
也		2274
子		2184
觉		2127
爱		2094
吧		2090
最		2079
样		2038
到		2020
来		2020
听		1984
她		1937
女		1879
下		1833
和		1772
认		1768
友		1753
为		1715
歌		1702
哈		1664
给		1659
能		1658
座		1653
识		1625
上		1598
呀		1560
以		1557
明		1531
学		1521
男		1440
作		1434
气		1408
时		1374
对		1368
电		1353
朋		1352
生		1349
手		1343
真		1331
点		1326
家		1291
发		1288
王		1264
星		1208
感		1202
面		1170
张		1159
比		1127
国		1126
游		1120
者		1120
西		1113
起		1113
片		1103
老		1099
帅		1084
海		1063
特		1057
度		1052
太		1050
像		1036
啥		1034
中		1017
少		1016
今		997
别		992
情		991
地		989
心		986
影		983
高		959
动		958
年		956
南		955
做		952
出		951
然		910
山		906
长		902
微		900
东		895
美		885
世		883
机		881
哦		869
们		867
超		863
挺		861
错		855
梦		839
州		834
之		826
打		821
球		817
方		816
名		805
唱		803
书		803
啦		796
现		794
用		794
话		794
本		791
嗯		790
事		789
风		785
戏		773
音		773
后		761
神		746
白		735
买		733
自		732
级		728
三		727
意		724
成		702
界		693
北		688
头		687
公		686
李		682
但		677
演		673
候		672
红		672
前		667
开		665
文		665
写		664
儿		662
经		662
嘛		661
行		659
龙		658
当		656
力		655
新		655
剧		651
雨		649
部		643
跟		640
钱		637
于		632
记		631
云		629
马		620
金		619
实		618
乐		616
火		611
几		610
照		601
办		597
思		593
物		591
讲		586
华		584
只		583
些		579
问		577
林		576
主		564
花		562
水		558
分		554
安		550
尔		546
克		543
见		543
理		538
语		537
近		535
如		532
表		531
叫		531
京		529
斯		529
英		528
城		524
果		521
吴		519
关		517
找		516
刘		510
杨		508
格		504
重		500
漫		500
罗		497
完		495
才		492
解		492
首		487
聊		485
第		482
喝		482
定		478
市		475
德		473
亮		472
月		471
鱼		471
着		468
包		466
师		464
丽		464
法		460
易		458
肉		452
周		448
结		448
它		446
又		444
图		442
该		441
信		439
种		436
孩		434
网		432
江		431
哥		430
陈		428
害		427
合		426
让		425
正		425
